topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,num_topics,nmf_components
0,"rachel, dictionary, used, conflict, much, figurative, means, want, meaning, school","0.1251, 0.1251, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250",21,0.038817005545286505,0.054926078903162805,8,10
1,"rachel, dictionary, used, conflict, much, figurative, means, want, meaning, school","0.1251, 0.1251, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250",0,0.0,0.054926078903162805,8,10
2,"rachel, dictionary, used, conflict, much, figurative, means, want, meaning, school","0.1251, 0.1251, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250",0,0.0,0.054926078903162805,8,10
3,"rachel, dictionary, used, conflict, much, figurative, means, want, meaning, school","0.1251, 0.1251, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250",0,0.0,0.054926078903162805,8,10
4,"paragraph, article, poem, based, speaker, reader, lines, mean, according, question","24.4210, 23.4840, 20.4682, 18.1088, 11.5981, 9.2790, 8.9194, 8.2059, 7.6676, 6.1970",150,0.27726432532347506,0.2113940792861887,8,10
5,"story, idea, main, theme, conflict, end, important, supports, people, beginning","23.9831, 15.3215, 14.3927, 5.3224, 4.7160, 3.6859, 2.9069, 2.3468, 1.8719, 1.6283",49,0.09057301293900184,0.11330750230914162,8,10
6,"author, best, likely, paragraph, would, information, selection, article, summary, include","32.6140, 31.6827, 27.5578, 16.8996, 13.2492, 10.0575, 9.9423, 8.7787, 8.4761, 7.2742",228,0.4214417744916821,0.274356670694748,8,10
7,"sentence, word, paragraph, read, means, meaning, used, mean, root, example","35.6092, 29.5182, 18.1458, 17.6149, 16.6657, 6.7114, 6.4234, 5.2994, 5.2887, 3.9233",93,0.17190388170055454,0.18123743209727045,8,10
