topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,coherence_c_v,model_overall_coherence_c_v,model_log_perplexity,num_topics
0,"table, students, based, flow, water, correct, volume, gas, well, formations","0.0143, 0.0143, 0.0115, 0.0115, 0.0115, 0.0087, 0.0087, 0.0087, 0.0087, 0.0087",24,0.10810810810810811,0.11057433485984802,0.5760562670381209,0.5636398917679237,-7.476168805022987,8
1,"water, student, data, organism, best, shows, comb, hydrometer, birds, tick","0.0221, 0.0149, 0.0124, 0.0100, 0.0100, 0.0076, 0.0076, 0.0076, 0.0076, 0.0076",24,0.10810810810810811,0.11270220577716827,0.4759884944508652,0.5636398917679237,-7.476168805022987,8
2,"water, percentage, plant, represents, species, moles, many, point, best, dna","0.0126, 0.0126, 0.0095, 0.0095, 0.0095, 0.0095, 0.0095, 0.0095, 0.0095, 0.0065",20,0.09009009009009009,0.09356614202260971,0.6020553082776294,0.5636398917679237,-7.476168805022987,8
3,"reaction, tides, light, three, population, waves, organisms, form, earth, chemical","0.0121, 0.0097, 0.0097, 0.0097, 0.0097, 0.0097, 0.0074, 0.0074, 0.0074, 0.0074",33,0.14864864864864866,0.14281903207302094,0.6180465596790419,0.5636398917679237,-7.476168805022987,8
4,"likely, scientist, rock, first, result, earth, shown, food, studying, water","0.0134, 0.0108, 0.0108, 0.0082, 0.0082, 0.0082, 0.0082, 0.0082, 0.0082, 0.0082",30,0.13513513513513514,0.13033701479434967,0.5996659703587698,0.5636398917679237,-7.476168805022987,8
5,"student, water, best, investigation, different, air, based, table, solution, recorded","0.0213, 0.0156, 0.0117, 0.0098, 0.0098, 0.0098, 0.0079, 0.0060, 0.0060, 0.0060",34,0.15315315315315314,0.15425044298171997,0.43298919645119077,0.5636398917679237,-7.476168805022987,8
6,"best, using, students, describes, use, characteristic, hypothesis, order, result, energy","0.0130, 0.0104, 0.0104, 0.0079, 0.0079, 0.0079, 0.0079, 0.0079, 0.0076, 0.0054",30,0.13513513513513514,0.13147082924842834,0.623606265018106,0.5636398917679237,-7.476168805022987,8
7,"likely, cell, would, process, scientists, structures, type, form, number, chart","0.0191, 0.0164, 0.0164, 0.0138, 0.0084, 0.0084, 0.0063, 0.0057, 0.0057, 0.0057",27,0.12162162162162163,0.12428002059459686,0.5807110728696658,0.5636398917679237,-7.476168805022987,8
