topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,num_topics,nmf_components
0,"best, would, summary, selection, heading, described, paragraph, section, may, information","32.5394, 10.9885, 8.4360, 6.2418, 5.9285, 5.5278, 4.4339, 4.2995, 4.2032, 3.8110",89,0.1645101663585952,0.1254451429245865,8,10
1,"story, theme, end, important, conflict, narrator, setting, title, charlie, detail","26.0405, 5.5928, 3.9480, 3.0155, 2.8964, 1.4322, 1.3944, 1.3523, 1.0526, 1.0516",43,0.07948243992606285,0.11377093499947238,8,10
2,"paragraph, word, means, mean, suggests, root, synonym, read, question, answered","37.3290, 30.0882, 16.5851, 12.0816, 5.3368, 5.2198, 4.0704, 3.7889, 3.6671, 3.4825",97,0.17929759704251386,0.13324391888882434,8,10
3,"likely, idea, main, paragraph, people, supports, reason, would, wrote, section","28.3514, 16.6642, 14.9365, 5.7511, 2.8305, 2.5621, 2.4040, 2.3174, 2.2885, 2.0756",69,0.12754158964879853,0.12972573991006836,8,10
4,"article, based, reader, according, sea, determine, may, tell, first, opinion","30.7107, 21.2986, 10.2671, 8.9607, 4.3615, 4.3298, 3.5805, 3.5567, 2.6696, 2.3707",68,0.1256931608133087,0.12891436820812865,8,10
5,"author, paragraph, includes, include, information, use, paragraphs, purpose, uses, wrote","33.3892, 9.1009, 5.9238, 5.6627, 5.5410, 4.1939, 4.0955, 3.9579, 3.5271, 3.1278",72,0.133086876155268,0.1256663573902648,8,10
6,"poem, speaker, lines, question, answered, based, narrator, theme, first, line","21.0957, 11.9481, 9.1731, 3.8587, 3.1938, 2.1049, 1.7060, 1.6324, 1.6107, 1.2687",43,0.07948243992606285,0.11730353002757853,8,10
7,"sentence, read, paragraph, meaning, example, language, opinion, used, contains, states","36.7365, 15.2401, 4.6785, 4.5272, 3.8772, 3.5985, 3.4774, 3.1142, 3.0717, 2.5452",60,0.11090573012939002,0.12593000765107643,8,10
