topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,coherence_c_v,model_overall_coherence_c_v,model_log_perplexity,num_topics
0,"paragraph, word, article, best, author, likely, means, based, idea, would","0.0490, 0.0417, 0.0295, 0.0284, 0.0183, 0.0124, 0.0121, 0.0113, 0.0111, 0.0108",96,0.17744916820702403,0.16316378116607666,0.4796910707311854,0.47578815363840454,-7.264996151160595,8
1,"article, information, reader, according, based, likely, paragraph, section, poem, selection","0.0310, 0.0187, 0.0161, 0.0156, 0.0148, 0.0119, 0.0091, 0.0091, 0.0087, 0.0083",46,0.08502772643253234,0.09298152476549149,0.5081853997505256,0.47578815363840454,-7.264996151160595,8
2,"sentence, story, best, paragraph, read, main, would, flier, reader, theme","0.0392, 0.0392, 0.0354, 0.0277, 0.0147, 0.0134, 0.0121, 0.0116, 0.0108, 0.0106",93,0.17190388170055454,0.16370446979999542,0.4494969241980325,0.47578815363840454,-7.264996151160595,8
3,"paragraph, word, mean, main, sentence, paragraphs, author, idea, message, read","0.0483, 0.0348, 0.0147, 0.0139, 0.0139, 0.0138, 0.0125, 0.0122, 0.0120, 0.0112",61,0.11275415896487985,0.11069118976593018,0.539489296224298,0.47578815363840454,-7.264996151160595,8
4,"paragraph, words, cause, likely, hotel, two, read, three, sentence, american","0.0230, 0.0175, 0.0118, 0.0111, 0.0079, 0.0079, 0.0079, 0.0079, 0.0079, 0.0079",40,0.07393715341959335,0.08384429663419724,0.44622940199431954,0.47578815363840454,-7.264996151160595,8
5,"paragraph, author, question, reader, based, article, answered, purpose, likely, information","0.0526, 0.0304, 0.0191, 0.0176, 0.0173, 0.0164, 0.0164, 0.0151, 0.0145, 0.0127",88,0.16266173752310537,0.15457741916179657,0.5148300460339058,0.47578815363840454,-7.264996151160595,8
6,"sentence, paragraph, story, article, best, opinion, based, selection, narrator, author","0.0240, 0.0197, 0.0174, 0.0130, 0.0130, 0.0125, 0.0112, 0.0108, 0.0090, 0.0075",56,0.10351201478743069,0.10874105989933014,0.46371247693747064,0.47578815363840454,-7.264996151160595,8
7,"sentence, poem, paragraph, speaker, lines, read, best, word, author, based","0.0337, 0.0290, 0.0260, 0.0234, 0.0215, 0.0171, 0.0148, 0.0139, 0.0120, 0.0089",61,0.11275415896487985,0.12229625880718231,0.4046706132374992,0.47578815363840454,-7.264996151160595,8
