topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,coherence_c_v,model_overall_coherence_c_v,model_log_perplexity,num_topics
0,"number, model, shown, data, container, point, shaded, set, represents, represent","0.0289, 0.0149, 0.0147, 0.0129, 0.0129, 0.0128, 0.0118, 0.0111, 0.0108, 0.0105",122,0.16010498687664043,0.14699824154376984,0.27186743807931607,0.38894182970697233,-7.166586106449598,8
1,"shown, represents, equation, graph, triangle, number, following, best, used, table","0.0326, 0.0236, 0.0219, 0.0167, 0.0149, 0.0147, 0.0129, 0.0128, 0.0096, 0.0096",140,0.1837270341207349,0.17353294789791107,0.3316293243646217,0.38894182970697233,-7.166586106449598,8
2,"number, equation, form, expression, figure, zero, simplest, equal, following, equivalent","0.0216, 0.0162, 0.0122, 0.0109, 0.0109, 0.0109, 0.0096, 0.0095, 0.0095, 0.0082",72,0.09448818897637795,0.10026934742927551,0.5279243720135989,0.38894182970697233,-7.166586106449598,8
3,"number, shown, circle, expression, total, set, data, given, equivalent, solution","0.0307, 0.0134, 0.0123, 0.0113, 0.0097, 0.0095, 0.0094, 0.0074, 0.0074, 0.0074",70,0.09186351706036745,0.0991683304309845,0.41438987956629775,0.38894182970697233,-7.166586106449598,8
4,"number, best, shows, height, line, angles, based, given, closest, data","0.0245, 0.0138, 0.0116, 0.0108, 0.0106, 0.0097, 0.0088, 0.0081, 0.0075, 0.0072",84,0.11023622047244094,0.11517458409070969,0.38342636156732596,0.38894182970697233,-7.166586106449598,8
5,"number, graph, shown, value, angle, two, line, represents, length, shows","0.0160, 0.0138, 0.0133, 0.0129, 0.0120, 0.0112, 0.0108, 0.0107, 0.0105, 0.0104",109,0.14304461942257218,0.1413445919752121,0.3823392567474048,0.38894182970697233,-7.166586106449598,8
6,"solution, statement, value, represents, best, shown, relation, true, spinner, total","0.0164, 0.0162, 0.0151, 0.0143, 0.0124, 0.0123, 0.0094, 0.0094, 0.0089, 0.0087",95,0.12467191601049869,0.11894309520721436,0.3636464529275908,0.38894182970697233,-7.166586106449598,8
7,"number, best, data, shows, value, function, statement, represents, shown, graph","0.0211, 0.0196, 0.0145, 0.0109, 0.0103, 0.0101, 0.0100, 0.0080, 0.0080, 0.0079",70,0.09186351706036745,0.10456886887550354,0.43631155238962266,0.38894182970697233,-7.166586106449598,8
