topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,num_topics,nmf_components
0,"number, total, sentence, shows, miles, table, line, represented, property, days","42.4242, 12.4623, 12.3926, 4.9888, 3.9166, 3.8369, 3.5511, 3.5224, 2.9328, 2.8442",123,0.16141732283464566,0.1287018410588241,8,10
1,"represents, best, graph, line, describes, inequality, represented, situation, solutions, amount","15.4036, 15.3695, 7.5874, 5.5155, 3.6631, 1.6882, 1.6748, 1.4633, 1.3440, 1.3407",27,0.03543307086614173,0.07791213150013793,8,10
2,"value, makes, expression, values, proves, given, estimate, true, place, rectangle","36.5636, 3.2283, 2.1968, 1.2636, 1.1838, 1.0905, 0.9167, 0.8078, 0.6963, 0.6337",17,0.02230971128608924,0.07316376585372285,8,10
3,"sections, landing, roll, including, nearest, yellow, arrow, rolls, purchase, sell","0.1251, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250, 0.1250",0,0.0,0.049827594397940066,8,10
4,"shown, triangle, figure, closest, shaded, circle, length, model, area, height","29.4245, 19.8864, 18.2700, 14.3373, 11.5009, 10.4636, 10.0570, 10.0242, 9.8475, 9.1205",302,0.3963254593175853,0.2886195098225942,8,10
5,"equivalent, expression, zero, equal, denominator, polynomial, simplest, form, equals, identify","22.5509, 20.7321, 5.8295, 4.0046, 3.2452, 2.5308, 2.4373, 2.3957, 2.2546, 1.5425",48,0.06299212598425197,0.08515123489271786,8,10
6,"equation, solution, set, data, statement, true, following, shows, represents, best","26.3405, 26.1192, 22.6032, 20.5291, 20.2561, 18.7665, 12.7715, 10.6384, 10.3285, 9.5255",216,0.28346456692913385,0.223760614058676,8,10
7,"function, graph, appears, relation, shown, domain, yintercept, range, identify, inverse","16.2944, 8.8370, 3.8377, 3.5500, 1.9784, 1.8687, 1.8618, 1.5466, 1.4788, 1.3261",29,0.03805774278215223,0.07286330841538693,8,10
