topic_id,top_keywords,keyword_weights,num_documents_dominant,proportion_documents_dominant,avg_probability_across_corpus,num_topics,nmf_components
0,"scientists, organisms, first, earth, air, data, order, within, time, information","8.7957, 3.7233, 2.7049, 2.5501, 2.3148, 1.6065, 1.3760, 1.3271, 1.2453, 0.9696",58,0.26126126126126126,0.12040957799288923,8,10
1,"student, table, based, investigation, different, data, used, help, information, recorded","10.8416, 8.7702, 5.2042, 4.3153, 3.0966, 2.0532, 2.0153, 1.8625, 1.8608, 1.8125",28,0.12612612612612611,0.13289679673852592,8,10
2,"using, result, made, found, moles, data, students, use, many, produced","9.7938, 3.7386, 2.4071, 1.4360, 1.3284, 1.3070, 1.2928, 1.1743, 1.1586, 1.1294",21,0.0945945945945946,0.11964794212978744,8,10
3,"best, energy, characteristic, common, plant, describes, use, four, earth, organism","13.1138, 7.9412, 6.5540, 4.7724, 4.2554, 2.0707, 2.0386, 1.7942, 1.7825, 1.6591",45,0.20270270270270271,0.15671090852811942,8,10
4,"water, table, best, energy, student, likely, using, scientists, based, characteristic","0.2829, 0.2490, 0.1965, 0.1886, 0.1868, 0.1867, 0.1678, 0.1458, 0.1424, 0.1303",0,0.0,0.0971394550621909,8,10
5,"water, students, correct, placed, point, used, different, light, form, investigation","14.7364, 2.9600, 1.4880, 1.3271, 1.3167, 1.0998, 1.0142, 1.0047, 0.9367, 0.8120",20,0.09009009009009009,0.11730014455779221,8,10
6,"process, shown, type, reaction, rock, chemical, represents, correct, correctly, describes","7.6743, 5.3896, 5.3577, 5.2276, 3.5977, 3.5466, 3.3966, 2.1072, 1.8578, 1.8524",29,0.13063063063063063,0.130529614573083,8,10
7,"likely, would, result, form, earth, organism, used, produced, shown, food","14.2952, 4.6822, 2.2099, 2.1575, 1.7219, 1.4138, 1.2954, 0.9386, 0.8354, 0.5458",21,0.0945945945945946,0.12536556041761185,8,10
